⺭	1	㇇	U+31C7	CJK STROKE HP
⺭	2	㇑	U+31D1	CJK STROKE S
⺭	3	㇔	U+31D4	CJK STROKE D
⻃	0	㇐	U+31D0	CJK STROKE H
⻃	1	㇑	U+31D1	CJK STROKE S
⻃	2	㇕	U+31D5	CJK STROKE HZ
⻃	3	㇑	U+31D1	CJK STROKE S
⻃	4	㇑	U+31D1	CJK STROKE S
⻃	5	㇐	U+31D0	CJK STROKE H
⻌	0	㇔	U+31D4	CJK STROKE D
⻌	1	㇋	U+31CB	CJK STROKE HZZP
⻌	2	㇏	U+31CF	CJK STROKE N
⻏	0	㇇	U+31C7	CJK STROKE HP
⻏	1	㇁	U+31C1	CJK STROKE WG
⻏	2	㇑	U+31D1	CJK STROKE S
⻖	0	㇇	U+31C7	CJK STROKE HP
⻖	1	㇁	U+31C1	CJK STROKE WG
⻖	2	㇑	U+31D1	CJK STROKE S
、	0	\N	\Nt\N
。	0	\N	\Nt\N
々	0	㇒	U+31D2	CJK STROKE P
々	1	㇇	U+31C7	CJK STROKE HP
々	2	㇔	U+31D4	CJK STROKE D
〆	0	\N	\Nt\N
〆	1	\N	\Nt\N
ぁ	0	\N	\Nt\N
ぁ	1	\N	\Nt\N
ぁ	2	\N	\Nt\N
あ	0	\N	\Nt\N
あ	1	\N	\Nt\N
あ	2	\N	\Nt\N
ぃ	0	\N	\Nt\N
ぃ	1	\N	\Nt\N
い	0	\N	\Nt\N
い	1	\N	\Nt\N
ぅ	0	\N	\Nt\N
ぅ	1	\N	\Nt\N
う	0	\N	\Nt\N
う	1	\N	\Nt\N
ぇ	0	\N	\Nt\N
ぇ	1	\N	\Nt\N
え	0	\N	\Nt\N
え	1	\N	\Nt\N
ぉ	0	\N	\Nt\N
ぉ	1	\N	\Nt\N
ぉ	2	\N	\Nt\N
お	0	\N	\Nt\N
お	1	\N	\Nt\N
お	2	\N	\Nt\N
か	0	\N	\Nt\N
か	1	\N	\Nt\N
か	2	\N	\Nt\N
が	0	\N	\Nt\N
が	1	\N	\Nt\N
が	2	\N	\Nt\N
が	3	\N	\Nt\N
が	4	\N	\Nt\N
き	0	\N	\Nt\N
き	1	\N	\Nt\N
き	2	\N	\Nt\N
き	3	\N	\Nt\N
ぎ	0	\N	\Nt\N
ぎ	1	\N	\Nt\N
ぎ	2	\N	\Nt\N
ぎ	3	\N	\Nt\N
ぎ	4	\N	\Nt\N
ぎ	5	\N	\Nt\N
く	0	\N	\Nt\N
ぐ	0	\N	\Nt\N
ぐ	1	\N	\Nt\N
ぐ	2	\N	\Nt\N
け	0	\N	\Nt\N
け	1	\N	\Nt\N
け	2	\N	\Nt\N
げ	0	\N	\Nt\N
げ	1	\N	\Nt\N
げ	2	\N	\Nt\N
げ	3	\N	\Nt\N
げ	4	\N	\Nt\N
こ	0	\N	\Nt\N
こ	1	\N	\Nt\N
ご	0	\N	\Nt\N
ご	1	\N	\Nt\N
ご	2	\N	\Nt\N
ご	3	\N	\Nt\N
さ	0	\N	\Nt\N
さ	1	\N	\Nt\N
さ	2	\N	\Nt\N
ざ	0	\N	\Nt\N
ざ	1	\N	\Nt\N
ざ	2	\N	\Nt\N
ざ	3	\N	\Nt\N
ざ	4	\N	\Nt\N
し	0	\N	\Nt\N
じ	0	\N	\Nt\N
じ	1	\N	\Nt\N
じ	2	\N	\Nt\N
す	0	\N	\Nt\N
す	1	\N	\Nt\N
ず	0	\N	\Nt\N
ず	1	\N	\Nt\N
ず	2	\N	\Nt\N
ず	3	\N	\Nt\N
せ	0	\N	\Nt\N
せ	1	\N	\Nt\N
せ	2	\N	\Nt\N
ぜ	0	\N	\Nt\N
ぜ	1	\N	\Nt\N
ぜ	2	\N	\Nt\N
ぜ	3	\N	\Nt\N
ぜ	4	\N	\Nt\N
そ	0	\N	\Nt\N
ぞ	0	\N	\Nt\N
ぞ	1	\N	\Nt\N
ぞ	2	\N	\Nt\N
た	0	\N	\Nt\N
た	1	\N	\Nt\N
た	2	\N	\Nt\N
